French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
demande,request
genre,kind
mois,month
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
parl̩,speak
arriv̩,come
devrait,should
b̩b̩,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
donner,give
leurs,their
donn̩,given
train,train
endroit,place
fa̤on,way
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
premi̬re,first
c̫t̩,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
pardon,sorry
devant,in front of
minutes,minutes
demand̩,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
esp̬re,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arr̻ter,Stop
dirait,would say
terre,Earth
loin,far
fin,end
ch̩rie,sweetheart
gros,large
plut̫t,rather
aura,will have
filles,girls
bureau,office
